state,crop,season,rainfall_mm,avg_temp_c,max_temp_c,min_temp_c,humidity_pct,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,area_hectares,pesticide_kg,irrigation_mm,yield_tons_per_hectare
Uttar Pradesh,Rice,Kharif,676.83,26.57,36.33,19.12,53.75,7.05,96.5,46.86,21.19,15.08,10.04,1035.57,6.73
Bihar,Cotton,Kharif,1254.3,24.55,29.19,19.36,70.04,5.09,94.88,19.34,79.52,4.46,9.19,1128.94,4.124
Uttar Pradesh,Cotton,Rabi,827.73,26.51,33.12,21.97,56.37,7.33,111.63,54.0,68.23,17.99,2.73,248.37,4.455
Karnataka,Soybean,Zaid,985.51,35.31,41.2,28.8,73.07,5.62,73.85,46.56,67.46,3.28,9.97,682.11,4.385
Karnataka,Soybean,Kharif,1124.79,26.21,31.49,21.13,60.24,7.42,37.73,50.7,37.98,11.79,6.12,721.38,3.972
Haryana,Barley,Rabi,800.52,24.77,31.79,15.28,57.61,6.6,49.36,49.52,32.18,0.98,2.83,221.65,3.978
Haryana,Maize,Zaid,689.3,24.6,33.06,18.61,65.23,6.61,22.41,35.08,62.61,5.11,6.93,732.53,3.908
Bihar,Soybean,Rabi,1172.06,30.15,37.65,22.53,73.08,6.23,89.83,45.82,48.31,21.82,10.25,562.66,4.398
Karnataka,Barley,Kharif,624.95,23.58,28.71,18.19,73.0,6.38,58.29,18.62,22.21,2.63,6.17,245.54,4.185
Bihar,Maize,Zaid,826.93,15.38,20.16,9.77,52.59,6.59,84.84,58.81,50.8,7.98,8.21,254.64,5.575
Haryana,Soybean,Kharif,753.06,28.31,33.64,20.22,73.24,6.86,52.16,52.71,73.07,22.89,4.75,320.31,3.572
Haryana,Barley,Kharif,834.73,22.03,29.84,12.6,78.09,6.4,114.99,13.78,38.35,0.71,14.73,1102.73,4.565
Uttar Pradesh,Soybean,Kharif,853.23,28.86,37.61,21.54,65.21,6.61,119.77,40.9,43.56,9.59,13.63,1021.19,4.243
Karnataka,Maize,Kharif,903.0,30.05,38.27,23.62,76.08,5.45,118.45,35.63,52.3,22.48,14.79,978.61,5.272
Uttar Pradesh,Maize,Kharif,895.47,18.77,26.78,12.28,63.0,7.13,49.38,44.24,62.2,21.19,5.14,941.89,5.667
Punjab,Barley,Zaid,686.06,31.87,41.55,22.46,71.3,5.83,70.89,45.1,72.65,14.64,2.19,202.58,3.627
Karnataka,Soybean,Zaid,508.94,24.37,33.86,18.4,58.1,6.11,45.39,13.19,40.03,8.27,10.65,1019.78,2.692
Karnataka,Cotton,Rabi,761.95,30.2,38.77,21.44,67.33,6.73,75.1,31.14,79.45,16.52,14.06,345.35,2.633
Maharashtra,Soybean,Zaid,822.47,26.59,36.54,21.55,69.06,6.78,66.8,36.43,32.25,24.11,13.72,1172.91,3.393
Uttar Pradesh,Maize,Rabi,1181.91,24.65,28.79,15.64,43.51,7.06,57.4,28.43,17.06,10.88,6.42,424.79,4.554
Haryana,Rice,Rabi,679.92,30.85,38.32,25.89,66.9,7.08,84.23,31.37,48.12,4.93,7.21,573.03,5.857
Maharashtra,Rice,Kharif,954.61,23.38,28.79,17.73,70.05,6.86,103.09,48.46,43.46,5.3,13.02,256.78,6.58
Bihar,Soybean,Zaid,563.49,25.02,32.62,20.11,60.17,6.15,53.44,22.05,68.52,10.22,11.21,640.36,3.569
Maharashtra,Maize,Kharif,879.47,29.35,38.25,19.89,62.36,7.42,74.14,42.23,33.71,20.39,12.92,467.22,4.707
Bihar,Cotton,Zaid,908.57,32.33,36.5,26.24,72.7,6.17,114.21,22.74,33.28,16.05,0.56,927.56,3.901
Bihar,Maize,Kharif,1056.78,29.34,33.89,24.81,59.51,6.93,62.76,20.02,71.79,5.44,10.75,963.32,5.132
Bihar,Maize,Rabi,846.97,20.59,28.75,11.51,68.05,5.61,91.29,35.03,26.5,10.6,9.71,935.33,5.738
Bihar,Rice,Zaid,832.1,23.97,29.15,15.15,46.46,6.09,42.28,44.3,65.77,8.82,14.2,230.61,5.706
Uttar Pradesh,Barley,Rabi,850.99,27.54,33.45,20.22,61.36,7.12,65.57,42.41,52.57,8.28,4.17,1187.87,5.304
Uttar Pradesh,Soybean,Zaid,902.72,24.23,29.34,14.43,55.12,6.77,89.32,40.18,36.94,6.89,10.92,941.36,3.911
Maharashtra,Barley,Zaid,989.3,23.25,27.89,17.59,65.4,6.64,41.5,45.16,50.55,21.07,8.93,683.45,4.859
Uttar Pradesh,Rice,Zaid,1053.74,36.71,45.76,28.27,77.43,6.14,32.73,35.0,63.51,11.87,0.75,384.27,5.517
Bihar,Soybean,Zaid,967.09,25.4,29.9,18.15,46.77,6.65,97.72,58.53,76.65,7.2,0.93,529.41,5.278
Punjab,Wheat,Kharif,1058.76,22.96,28.27,14.72,72.84,6.19,111.08,15.16,24.73,9.89,10.01,784.08,5.263
Bihar,Soybean,Zaid,725.97,31.16,40.83,23.18,56.32,5.81,81.88,51.44,48.09,9.37,14.78,340.99,3.83
Bihar,Rice,Rabi,779.31,34.09,43.4,29.79,72.79,5.85,85.16,29.71,67.89,14.61,12.76,393.77,5.914
Haryana,Soybean,Rabi,973.61,23.01,30.35,18.59,70.28,5.02,50.57,20.74,29.88,5.76,9.53,367.69,3.516
Karnataka,Wheat,Rabi,847.09,27.56,34.04,21.84,67.68,6.18,81.39,54.34,18.81,21.02,10.33,559.99,5.401
Haryana,Maize,Kharif,904.02,25.7,33.85,17.44,62.1,7.14,71.03,52.42,20.67,1.55,9.74,350.02,5.227
Punjab,Barley,Zaid,809.35,24.83,33.86,15.08,62.36,6.86,59.83,54.81,75.25,24.33,11.64,401.99,5.355
Bihar,Cotton,Zaid,652.34,33.21,42.4,28.88,76.64,6.41,67.91,21.61,76.88,14.2,13.52,478.06,3.173
Uttar Pradesh,Cotton,Zaid,644.59,21.12,30.01,12.08,32.0,6.89,91.97,43.84,38.49,0.56,3.99,963.92,4.499
Karnataka,Rice,Kharif,998.1,25.05,34.73,18.57,89.83,7.77,58.7,46.48,77.54,15.0,9.07,564.83,6.443
Haryana,Cotton,Zaid,852.45,14.07,20.65,7.12,76.02,7.1,37.03,30.53,69.62,11.72,14.0,409.31,3.787
Haryana,Rice,Zaid,686.7,26.86,35.37,17.41,77.33,5.84,78.87,38.86,34.8,17.89,13.29,846.32,5.469
Karnataka,Cotton,Kharif,836.91,31.31,36.25,26.55,58.25,6.5,118.04,31.22,49.68,6.06,7.01,1184.69,4.415
Uttar Pradesh,Soybean,Kharif,596.11,18.62,23.88,10.93,48.41,6.87,32.59,50.93,76.07,4.74,7.21,302.04,3.131
Punjab,Rice,Zaid,802.53,36.19,40.46,27.04,77.99,6.19,65.21,56.58,27.94,4.9,11.36,925.72,5.903
Uttar Pradesh,Maize,Kharif,477.88,20.51,28.12,14.73,66.41,6.85,92.78,16.34,75.95,14.77,5.33,597.14,4.293
Maharashtra,Rice,Rabi,678.3,16.23,21.4,6.56,45.35,7.04,89.85,40.44,43.61,16.42,13.59,1000.28,6.13
Punjab,Soybean,Kharif,1014.04,27.0,35.62,21.06,72.19,6.53,48.34,26.9,54.31,14.8,4.21,406.42,3.831
Punjab,Maize,Zaid,819.29,27.67,35.12,18.36,38.69,5.58,107.14,20.74,30.68,8.95,6.18,753.0,4.733
Bihar,Rice,Kharif,951.39,24.66,34.52,19.45,63.42,7.54,89.0,39.61,50.08,2.35,13.45,825.51,6.055
Karnataka,Maize,Zaid,882.18,25.64,34.17,18.58,60.59,6.58,112.86,28.69,41.86,15.79,12.12,868.46,6.178
Karnataka,Wheat,Kharif,904.65,27.67,35.42,22.39,79.59,6.23,22.2,59.05,31.84,15.03,4.85,570.62,5.403
Maharashtra,Barley,Zaid,882.62,19.87,26.44,10.03,72.06,7.19,43.71,13.15,70.38,14.56,6.51,1011.97,4.214
Maharashtra,Barley,Zaid,1051.36,27.07,31.9,18.89,68.65,6.82,85.56,21.54,28.57,23.13,9.31,1093.74,5.575
Bihar,Rice,Zaid,878.0,29.78,36.02,25.43,69.37,5.0,56.45,57.19,25.9,4.29,1.56,591.27,6.045
Punjab,Cotton,Rabi,710.88,32.32,40.44,27.11,60.1,5.93,56.67,14.17,68.79,23.52,10.16,1164.54,3.41
Haryana,Wheat,Zaid,1208.83,29.54,36.47,24.6,90.68,5.98,46.69,28.57,42.46,18.81,13.92,521.44,5.635
Maharashtra,Wheat,Rabi,835.56,31.18,36.19,24.77,60.17,7.23,44.98,47.14,76.69,11.75,0.62,888.15,5.356
Uttar Pradesh,Maize,Zaid,732.39,25.92,31.99,17.69,63.09,5.78,66.4,47.62,22.76,17.45,10.18,570.74,4.524
Haryana,Soybean,Zaid,736.54,21.84,27.07,14.56,71.5,5.83,50.58,31.43,17.38,13.83,1.42,1138.61,4.242
Haryana,Rice,Zaid,1125.32,32.6,41.41,25.75,55.2,6.37,28.03,39.23,28.83,17.28,12.51,309.52,5.643
Maharashtra,Maize,Zaid,1082.89,28.39,34.51,19.39,63.54,6.48,34.09,11.16,18.3,22.65,13.3,1007.59,5.013
Karnataka,Wheat,Rabi,625.9,25.03,29.72,15.66,71.09,6.38,110.1,34.23,39.24,14.06,14.73,319.63,5.196
Haryana,Cotton,Rabi,759.46,22.56,27.8,16.13,63.77,6.79,92.32,51.82,41.59,10.86,7.7,766.35,3.55
Haryana,Wheat,Zaid,970.05,25.37,35.21,17.88,52.16,6.9,86.91,31.75,44.1,17.68,1.38,740.08,5.683
Bihar,Soybean,Zaid,622.68,26.26,31.27,18.73,70.97,6.01,102.53,19.45,61.32,22.06,10.37,885.75,3.907
Karnataka,Barley,Rabi,980.2,20.98,29.94,11.32,51.8,5.84,29.35,24.01,69.78,16.57,14.52,542.68,4.597
Karnataka,Cotton,Zaid,551.64,22.64,26.68,18.49,63.83,6.65,96.31,49.2,42.33,20.07,14.09,372.17,3.636
Haryana,Rice,Zaid,630.24,27.99,37.18,23.86,60.06,6.63,31.04,49.61,76.22,2.73,2.72,1174.1,6.03
Haryana,Cotton,Kharif,805.51,26.78,34.09,17.26,67.32,6.66,104.37,42.66,47.74,10.05,7.8,722.48,4.57
Maharashtra,Barley,Kharif,774.73,29.33,33.49,23.63,95.0,6.87,64.93,24.02,67.7,0.97,3.03,1026.95,4.911
Uttar Pradesh,Maize,Zaid,810.43,29.62,38.42,21.37,74.15,6.11,60.42,54.38,54.33,13.41,2.81,1114.33,5.09
Punjab,Barley,Rabi,791.35,23.43,28.4,15.84,57.82,6.84,76.93,22.01,76.51,21.57,4.68,728.81,4.96
Karnataka,Rice,Zaid,1053.93,21.97,26.94,14.66,70.76,5.04,56.57,58.38,42.0,3.84,12.59,1020.87,6.083
Uttar Pradesh,Maize,Zaid,798.01,24.91,29.13,19.72,75.37,5.79,43.07,15.57,76.68,3.25,4.23,382.63,4.696
Bihar,Rice,Kharif,1098.34,25.84,34.32,18.54,43.15,7.07,80.86,42.48,66.95,17.9,11.98,345.6,6.755
Uttar Pradesh,Barley,Zaid,683.39,14.06,19.52,4.86,90.0,6.56,56.79,54.9,44.59,17.51,12.01,827.9,4.158
Karnataka,Barley,Zaid,635.08,28.26,32.39,22.7,81.61,6.4,78.41,28.08,49.74,0.55,12.8,561.93,4.229
Maharashtra,Maize,Kharif,677.3,24.94,32.08,20.67,83.79,6.77,27.7,48.64,57.91,16.41,6.69,610.5,4.799
Haryana,Soybean,Kharif,598.38,29.85,36.37,24.52,60.29,6.88,35.45,46.46,56.78,2.21,2.17,833.85,4.02
Uttar Pradesh,Rice,Rabi,679.87,21.43,31.04,13.82,76.24,6.39,54.31,12.46,34.65,22.69,6.46,1064.67,5.521
Maharashtra,Rice,Rabi,877.41,34.62,41.49,29.06,67.57,6.08,21.45,24.23,79.32,1.91,5.13,521.42,5.333
Uttar Pradesh,Wheat,Rabi,1144.0,33.32,41.19,27.38,74.21,7.34,31.97,27.19,28.52,5.08,7.62,763.83,5.203
Maharashtra,Rice,Kharif,1013.55,23.17,27.62,15.23,58.6,6.59,79.7,54.46,19.35,9.07,14.79,382.29,6.221
Uttar Pradesh,Rice,Rabi,939.14,23.44,32.1,15.28,67.46,5.52,97.69,53.28,31.01,3.62,11.83,456.55,6.333
Uttar Pradesh,Wheat,Zaid,1131.0,25.41,29.62,16.66,43.19,6.67,55.85,18.27,22.34,7.27,8.47,410.01,5.978
Maharashtra,Cotton,Rabi,1027.15,26.18,30.41,21.96,47.62,5.82,33.13,49.35,61.52,0.6,0.89,395.03,3.736
Bihar,Wheat,Rabi,1053.87,16.49,24.85,7.98,66.15,6.74,119.02,27.96,23.18,9.4,3.74,731.01,5.781
Maharashtra,Wheat,Zaid,807.15,28.78,36.01,22.77,68.47,6.62,20.85,43.0,26.06,18.25,8.73,601.48,5.155
Punjab,Soybean,Zaid,1058.53,33.44,39.92,24.7,91.18,6.56,43.8,23.5,25.8,10.12,3.3,795.54,3.334
Haryana,Soybean,Zaid,1051.32,25.35,31.88,16.56,78.24,6.23,27.91,15.15,77.95,17.14,11.41,875.76,3.666
Punjab,Cotton,Rabi,417.12,20.94,28.52,16.0,43.37,6.52,92.66,21.56,55.04,16.65,5.26,1018.83,3.429
Bihar,Soybean,Kharif,981.92,22.42,29.78,14.87,55.96,6.01,33.57,30.44,26.55,7.36,2.35,412.5,3.759
Uttar Pradesh,Rice,Rabi,1031.75,23.22,32.5,14.28,51.77,7.58,116.26,57.44,35.36,21.65,11.99,975.8,6.742
Maharashtra,Wheat,Kharif,777.74,25.34,33.76,16.06,65.21,7.12,115.69,18.93,76.77,2.07,8.56,290.2,5.175
Maharashtra,Barley,Rabi,889.82,33.48,38.53,25.32,57.17,6.64,34.74,39.95,65.62,15.12,12.24,791.48,4.182
Bihar,Wheat,Kharif,959.85,24.34,29.16,16.76,59.52,6.34,108.21,57.84,31.46,5.57,3.6,587.42,5.785
Punjab,Maize,Rabi,1000.59,24.16,30.6,17.74,72.23,6.86,107.48,10.81,65.31,1.06,4.91,1079.66,6.063
Haryana,Wheat,Rabi,564.48,33.54,43.16,25.73,62.62,5.0,24.78,39.93,65.5,1.38,11.86,906.39,4.412
Haryana,Rice,Kharif,561.75,23.19,29.01,17.27,53.63,6.32,110.15,49.19,37.39,23.72,3.96,606.82,6.65
Maharashtra,Maize,Zaid,544.56,19.93,26.94,12.21,57.77,6.21,46.39,36.77,29.26,21.75,11.34,610.28,4.72
Punjab,Rice,Kharif,1121.95,23.07,31.57,13.3,65.67,5.6,81.05,24.06,24.19,24.06,12.24,1158.5,5.999
Punjab,Maize,Zaid,589.11,29.33,34.16,24.63,68.37,6.41,98.59,44.77,18.46,18.22,7.01,357.89,4.927
Maharashtra,Wheat,Rabi,563.65,22.1,28.33,14.06,69.41,6.48,81.85,22.19,39.39,17.81,8.58,568.66,4.798
Karnataka,Rice,Zaid,1117.23,24.27,31.48,15.07,65.55,7.15,25.65,24.91,20.08,1.28,13.82,916.87,5.791
Bihar,Soybean,Rabi,805.33,18.52,26.1,10.03,72.42,5.81,23.19,29.33,72.33,4.92,2.55,565.43,3.432
Bihar,Cotton,Zaid,1210.86,34.43,44.27,26.58,46.21,7.41,68.9,11.49,15.58,17.78,2.22,747.81,3.641
Uttar Pradesh,Cotton,Kharif,1029.53,25.05,30.84,15.2,84.97,6.05,59.19,45.56,68.05,7.93,14.9,1108.62,4.341
Uttar Pradesh,Maize,Zaid,751.21,25.56,34.52,21.42,47.13,6.95,111.76,29.91,72.69,11.83,4.69,1100.65,5.997
Haryana,Barley,Rabi,481.71,25.41,31.6,17.77,51.11,5.51,46.48,30.43,79.5,10.13,1.79,781.11,4.117
Uttar Pradesh,Wheat,Rabi,1135.0,31.51,39.33,21.54,69.69,7.38,105.7,55.84,46.08,19.8,3.33,803.13,5.819
Uttar Pradesh,Rice,Rabi,590.01,33.64,39.57,25.66,51.25,7.73,32.65,50.93,59.73,1.25,5.37,666.71,5.885
Punjab,Soybean,Zaid,970.95,25.39,29.95,19.8,48.8,6.22,62.45,43.11,50.2,3.72,3.73,422.52,4.408
Punjab,Soybean,Rabi,729.27,34.79,40.68,27.67,73.64,5.76,93.03,46.45,28.1,11.5,12.26,581.53,3.243
Maharashtra,Maize,Kharif,514.13,18.87,25.47,9.79,67.27,7.1,81.86,52.56,54.6,24.02,13.15,548.74,5.016
Uttar Pradesh,Maize,Zaid,975.44,28.69,36.59,24.13,71.78,6.87,78.73,11.29,60.2,12.65,9.57,515.67,4.911
Maharashtra,Rice,Rabi,1045.55,18.91,26.96,14.61,84.37,7.13,65.15,28.39,22.33,8.97,5.58,722.11,6.367
Punjab,Soybean,Rabi,1235.44,14.86,20.24,8.42,78.83,7.28,87.86,38.92,46.93,10.23,9.38,324.61,4.027
Haryana,Barley,Zaid,810.38,19.57,23.72,14.61,64.01,5.57,68.76,34.77,65.27,1.39,6.69,299.83,4.569
Haryana,Soybean,Zaid,592.91,20.41,28.06,11.88,67.49,5.29,49.25,36.01,31.8,12.42,2.62,765.4,3.862
Haryana,Soybean,Kharif,356.74,21.02,30.79,14.33,32.4,6.23,104.33,41.29,42.07,6.52,11.3,1145.47,3.873
Maharashtra,Soybean,Kharif,872.17,20.27,30.16,10.31,70.81,6.12,117.77,26.39,36.69,17.34,1.21,1025.77,4.979
Uttar Pradesh,Wheat,Kharif,760.97,26.36,30.75,17.6,69.94,6.61,31.6,25.26,38.44,17.24,11.92,1161.02,5.141
Karnataka,Barley,Rabi,857.9,38.04,45.6,31.21,74.17,7.56,102.86,22.08,37.29,17.77,11.78,1025.4,3.937
Karnataka,Wheat,Rabi,871.46,25.07,31.65,15.16,70.03,6.06,105.02,17.54,61.44,12.01,12.87,1107.45,6.391
Uttar Pradesh,Rice,Kharif,990.62,30.46,38.07,26.19,77.61,6.1,51.35,56.29,76.73,24.8,7.41,377.43,5.247
Punjab,Soybean,Kharif,1083.16,23.12,29.55,18.64,58.74,6.2,90.34,14.12,25.39,10.11,1.97,1134.04,4.554
Haryana,Cotton,Kharif,475.04,18.14,25.56,14.06,77.91,5.43,112.81,27.13,56.76,6.06,8.62,454.03,3.717
Haryana,Soybean,Zaid,682.78,26.79,32.82,18.13,71.18,5.68,48.25,16.78,59.08,12.01,8.19,720.53,3.732
Bihar,Cotton,Kharif,147.04,25.65,33.33,17.71,41.35,6.11,74.83,38.93,35.28,1.82,0.56,1036.13,3.521
Karnataka,Cotton,Zaid,670.92,23.71,32.71,15.52,62.86,6.27,70.7,27.35,62.25,17.31,5.0,1183.04,3.983
Uttar Pradesh,Cotton,Rabi,758.33,21.28,29.07,14.21,66.15,6.39,90.22,50.83,64.73,19.39,13.38,284.18,3.588
Bihar,Wheat,Kharif,688.51,31.54,41.54,26.5,84.93,6.78,66.45,30.94,46.93,23.24,7.44,714.63,5.115
Haryana,Maize,Zaid,901.41,25.69,34.76,18.37,77.09,5.5,86.95,38.25,71.12,19.71,10.19,864.76,5.224
Karnataka,Rice,Rabi,1042.81,23.28,30.94,16.34,65.12,5.38,84.6,27.11,38.16,6.54,14.45,1060.2,5.806
Maharashtra,Soybean,Rabi,781.95,35.02,39.35,30.81,53.69,7.19,80.43,49.07,23.98,11.29,10.49,1033.86,3.325
Haryana,Soybean,Zaid,536.88,32.44,41.07,25.11,60.09,6.48,71.77,18.88,51.6,23.73,10.73,498.8,2.751
Punjab,Maize,Kharif,876.56,35.87,41.96,26.22,65.08,6.99,86.74,36.63,23.94,5.51,3.1,786.79,5.25
Bihar,Cotton,Rabi,742.85,24.84,29.78,14.98,95.0,7.23,82.09,37.81,29.68,16.92,1.91,219.37,3.914
Haryana,Barley,Rabi,975.98,26.21,32.14,17.89,93.23,5.58,119.91,41.92,63.66,6.68,9.82,711.01,5.037
Bihar,Barley,Zaid,780.19,31.52,40.83,23.98,44.75,6.4,27.69,15.4,78.5,5.7,10.52,836.53,4.061
Bihar,Rice,Kharif,849.36,22.57,27.69,14.23,45.38,5.83,63.63,22.51,67.48,4.81,14.03,1084.57,5.623
Haryana,Cotton,Kharif,835.48,22.85,30.62,18.66,63.16,6.25,77.38,35.45,20.38,20.49,4.3,741.48,3.817
Haryana,Maize,Zaid,989.88,14.02,23.16,8.6,48.02,6.19,118.61,57.7,43.74,13.34,9.17,475.04,5.315
Uttar Pradesh,Maize,Zaid,884.06,23.64,33.16,18.95,65.9,5.97,34.61,11.03,38.62,16.17,8.06,874.54,4.487
Karnataka,Rice,Kharif,851.56,24.61,31.95,19.13,69.98,6.27,83.23,16.02,57.54,10.73,10.91,252.19,5.627
Punjab,Wheat,Rabi,724.88,40.8,45.24,32.52,45.8,6.96,102.47,50.48,70.52,8.49,8.16,973.35,5.513
Maharashtra,Soybean,Zaid,701.1,25.13,32.09,18.22,50.63,7.02,92.71,37.05,49.4,5.28,10.51,592.03,3.829
Bihar,Wheat,Rabi,835.26,24.46,34.35,18.26,76.5,5.98,83.31,21.72,18.36,11.23,0.65,271.0,4.898
Punjab,Barley,Zaid,993.88,19.35,27.81,10.65,46.18,7.41,56.09,57.46,57.98,19.83,14.55,431.44,4.432
Karnataka,Rice,Kharif,803.98,29.55,35.32,21.21,61.09,6.36,30.09,53.17,47.36,11.0,7.76,400.21,5.191
Bihar,Wheat,Zaid,758.86,21.11,27.66,16.82,54.27,6.26,56.1,47.98,32.16,20.95,1.6,940.71,5.934
Bihar,Soybean,Zaid,902.99,21.69,27.37,11.89,54.37,6.78,60.21,15.46,53.39,17.66,6.36,606.03,4.1
Bihar,Rice,Kharif,938.94,27.31,31.34,18.17,47.79,7.6,35.22,32.4,27.07,18.53,1.34,749.71,5.839
Maharashtra,Barley,Zaid,702.16,24.66,29.98,20.27,95.0,6.97,47.98,25.35,23.26,19.0,13.9,989.75,3.903
Karnataka,Cotton,Zaid,592.9,29.65,33.66,22.72,66.31,5.49,104.62,10.4,62.46,24.71,7.49,571.24,2.94
Uttar Pradesh,Maize,Zaid,1251.66,25.95,33.59,16.31,62.84,6.48,119.33,18.81,20.0,14.95,0.85,380.43,4.721
Haryana,Rice,Rabi,871.98,23.99,31.85,15.16,70.56,6.88,109.42,51.9,23.66,23.94,13.43,520.93,6.495
Karnataka,Cotton,Zaid,623.9,15.91,20.37,10.44,63.6,6.89,93.67,24.6,44.42,13.51,4.13,851.96,3.286
Bihar,Maize,Kharif,487.68,21.91,29.18,13.24,78.72,8.12,85.75,44.67,67.94,4.94,7.99,860.83,4.1
Karnataka,Maize,Kharif,809.88,32.36,38.61,27.06,61.9,5.25,32.08,11.76,17.92,5.19,9.32,217.65,3.544
Haryana,Barley,Kharif,991.3,33.71,41.84,25.32,52.47,5.85,89.03,12.83,43.65,19.31,5.01,581.56,4.439
Punjab,Maize,Rabi,704.22,22.47,26.63,18.44,60.11,6.45,101.98,55.6,49.7,11.49,6.09,246.42,5.682
Bihar,Maize,Rabi,873.81,30.78,36.13,22.52,76.81,7.44,20.87,18.52,45.62,21.34,14.49,794.87,4.953
Haryana,Maize,Zaid,900.34,19.08,26.39,10.07,67.54,6.53,23.61,22.7,60.38,9.33,2.8,305.77,5.288
Haryana,Barley,Rabi,887.17,26.01,30.93,19.01,55.61,6.19,25.8,31.18,15.04,19.76,2.91,1124.92,4.257
Uttar Pradesh,Cotton,Zaid,1021.7,20.35,26.49,11.38,48.5,6.83,55.34,21.87,22.97,16.34,5.52,425.38,4.267
Karnataka,Rice,Zaid,1036.67,24.31,31.76,17.29,66.58,6.34,74.39,51.26,57.61,20.02,10.55,1120.96,7.14
Haryana,Soybean,Rabi,476.12,25.98,33.57,17.73,58.35,6.75,51.89,52.95,22.0,16.03,13.41,452.69,3.781
Maharashtra,Maize,Kharif,921.05,15.78,25.13,10.55,71.95,7.13,24.08,14.79,78.16,16.78,0.99,994.2,4.823
Punjab,Cotton,Zaid,733.22,33.04,38.27,23.77,71.51,6.66,47.28,48.37,60.9,22.63,3.83,986.36,3.207
Haryana,Maize,Kharif,1034.67,17.13,24.92,9.83,65.62,7.31,101.43,34.32,59.22,12.18,11.3,334.33,5.708
Maharashtra,Wheat,Kharif,1363.92,21.81,26.67,11.95,65.5,6.42,57.34,41.02,26.68,13.56,10.98,294.06,6.095
Karnataka,Cotton,Rabi,436.1,30.51,39.55,25.88,64.96,6.77,21.19,59.3,53.89,15.39,14.4,1032.03,2.806
Maharashtra,Cotton,Rabi,1294.88,28.56,34.64,22.35,62.66,7.16,64.67,25.47,25.75,9.65,7.47,920.73,4.409
Maharashtra,Cotton,Kharif,964.68,24.91,31.29,15.04,72.47,5.52,92.51,35.46,17.86,4.46,14.06,303.16,3.597
Uttar Pradesh,Wheat,Rabi,893.39,31.01,36.03,25.31,73.83,5.41,41.46,16.46,75.17,4.47,13.25,850.46,4.402
Bihar,Rice,Zaid,935.11,16.61,25.99,8.87,60.4,7.04,21.49,34.97,55.55,16.64,5.32,671.28,5.719
Maharashtra,Soybean,Kharif,946.93,29.01,33.02,24.87,52.12,6.24,103.95,18.65,15.9,10.01,11.17,1171.73,4.003
Bihar,Wheat,Rabi,773.64,30.22,39.77,23.85,59.84,5.66,30.56,36.24,73.97,8.13,12.1,369.2,4.135
Karnataka,Soybean,Kharif,696.9,29.74,38.02,22.64,52.72,6.49,115.73,42.79,67.6,17.58,12.53,362.49,3.521
Uttar Pradesh,Cotton,Zaid,897.16,26.76,35.97,18.79,71.17,6.88,33.95,21.63,78.37,19.39,14.08,1006.62,3.657
Haryana,Wheat,Kharif,742.65,30.13,39.29,23.97,40.23,5.96,52.61,53.03,15.68,11.18,14.17,742.64,4.338
Punjab,Maize,Kharif,619.94,22.25,27.02,17.27,57.5,6.55,115.01,16.19,39.9,22.05,2.05,683.6,4.659
Karnataka,Wheat,Kharif,1086.76,27.81,35.89,21.63,47.62,6.46,102.54,26.08,23.96,13.2,13.85,208.48,5.54
Uttar Pradesh,Maize,Rabi,487.88,27.31,31.58,21.27,87.61,7.69,68.77,49.53,35.66,18.74,2.62,760.72,4.829
Karnataka,Soybean,Rabi,511.68,29.22,38.66,20.27,67.82,6.61,70.37,25.9,72.68,5.14,3.69,886.71,3.304
Maharashtra,Cotton,Zaid,828.77,15.34,22.99,10.06,59.58,6.4,28.88,38.99,37.63,6.46,3.68,1148.58,4.26
Haryana,Rice,Rabi,462.04,26.04,35.56,21.44,77.9,6.45,100.91,42.57,65.01,10.82,7.59,901.66,6.517
Maharashtra,Wheat,Rabi,817.39,22.21,26.27,15.71,64.75,5.88,90.4,38.11,60.08,0.5,1.36,898.46,6.122
Uttar Pradesh,Rice,Kharif,1009.28,32.87,41.3,24.52,58.66,6.92,26.33,28.06,49.29,19.18,5.35,475.12,5.627
Karnataka,Soybean,Kharif,1047.81,18.64,25.05,12.84,65.79,7.38,53.77,25.68,66.06,1.66,6.14,237.52,4.124
Uttar Pradesh,Soybean,Kharif,694.49,26.95,32.84,18.8,62.62,6.35,61.08,28.79,74.41,21.0,14.51,266.49,2.988
Uttar Pradesh,Barley,Kharif,920.53,29.0,37.74,23.66,56.03,5.53,80.37,27.71,27.21,3.79,11.29,669.13,4.571
Bihar,Maize,Zaid,771.6,17.84,24.47,8.1,55.94,6.81,109.03,54.59,47.44,3.58,4.93,954.15,5.382
Uttar Pradesh,Barley,Rabi,936.31,27.72,35.22,17.79,70.04,5.96,74.91,53.46,54.33,12.94,2.28,903.21,5.279
Punjab,Wheat,Kharif,464.75,20.39,30.38,12.11,83.33,6.74,70.89,58.71,42.13,20.28,8.13,423.96,4.52
Karnataka,Maize,Kharif,463.52,21.38,27.6,12.05,67.49,6.2,75.56,10.38,27.27,23.32,9.26,1129.55,4.104
Uttar Pradesh,Wheat,Kharif,803.59,17.4,21.51,7.69,66.94,5.69,74.47,38.23,38.36,20.8,4.33,692.24,4.904
Haryana,Barley,Zaid,742.63,37.25,45.2,29.2,60.6,6.02,87.96,13.86,29.23,19.91,6.81,698.04,4.416
